customer_id,gender,age,under_30,senior_citizen,married,dependents,number_of_dependents,country,state,city,zip_code,latitude,longitude,population,quarter,referred_a_friend,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_score,customer_status,churn_label,churn_score,cltv,churn_category,churn_reason
8779-QRDMV,Male,78,False,True,False,False,0,United States,California,Los Angeles,90022,34.02381,-118.156582,68701,Q3,False,0,1,None,False,0.0,False,True,DSL,8,False,False,True,False,False,True,False,False,Month-to-Month,True,Bank Withdrawal,39.65,39.65,0.0,20,0.0,59.65,3,Churned,True,91,5433,Competitor,Competitor offered more data
7495-OOKFY,Female,74,False,True,True,True,1,United States,California,Los Angeles,90063,34.044271,-118.185237,55668,Q3,True,1,8,Offer E,True,48.85,True,True,Fiber Optic,17,False,True,False,False,False,False,False,True,Month-to-Month,True,Credit Card,80.65,633.3,0.0,0,390.8,1024.1,3,Churned,True,69,5302,Competitor,Competitor made better offer
1658-BYGOY,Male,71,False,True,False,True,3,United States,California,Los Angeles,90065,34.108833,-118.229715,47534,Q3,False,0,18,Offer D,True,11.33,True,True,Fiber Optic,52,False,False,False,False,True,True,True,True,Month-to-Month,True,Bank Withdrawal,95.45,1752.55,45.61,0,203.94,1910.88,2,Churned,True,81,3179,Competitor,Competitor made better offer
4598-XLKNJ,Female,78,False,True,True,True,1,United States,California,Inglewood,90303,33.936291,-118.332639,27778,Q3,True,1,25,Offer C,True,19.76,False,True,Fiber Optic,12,False,True,True,False,True,True,False,True,Month-to-Month,True,Bank Withdrawal,98.5,2514.5,13.43,0,494.00000000000006,2995.07,2,Churned,True,88,5337,Dissatisfaction,Limited range of services
4846-WHAFZ,Female,80,False,True,True,True,1,United States,California,Whittier,90602,33.972119,-118.020188,26265,Q3,True,1,37,Offer C,True,6.33,True,True,Fiber Optic,14,False,False,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,76.5,2868.15,0.0,0,234.21,3102.36,2,Churned,True,67,2793,Price,Extra data charges
4412-YLTKF,Female,72,False,True,False,True,1,United States,California,Pico Rivera,90660,33.989524,-118.089299,63288,Q3,False,0,27,Offer C,True,3.33,True,True,Fiber Optic,18,False,False,True,False,False,False,False,False,Month-to-Month,True,Bank Withdrawal,78.05,2135.5,0.0,10,89.91,2235.41,1,Churned,True,95,4638,Competitor,Competitor had better devices
0390-DCFDQ,Female,76,False,True,True,True,2,United States,California,Los Alamitos,90720,33.79499,-118.065591,21343,Q3,True,1,1,Offer E,True,15.28,False,True,Fiber Optic,30,False,False,False,False,False,False,False,True,Month-to-Month,True,Mailed Check,70.45,70.45,0.0,0,15.28,85.73,2,Churned,True,76,3964,Other,Don't know
3445-HXXGF,Male,66,False,True,True,False,0,United States,California,Sierra Madre,91024,34.168686,-118.057505,10558,Q3,True,6,58,Offer B,False,0.0,False,True,DSL,24,False,True,True,False,False,True,False,True,Month-to-Month,True,Bank Withdrawal,45.3,2651.2,40.95,0,0.0,2610.25,1,Churned,True,91,5444,Dissatisfaction,Service dissatisfaction
2656-FMOKZ,Female,70,False,True,False,True,2,United States,California,Pasadena,91106,34.139402,-118.128658,23742,Q3,False,0,15,Offer D,True,44.07,True,True,Fiber Optic,19,False,False,False,False,False,False,False,True,Month-to-Month,True,Mailed Check,74.45,1145.7,0.0,0,661.05,1806.75,2,Churned,True,91,5717,Dissatisfaction,Limited range of services
2070-FNEXE,Female,77,False,True,False,True,2,United States,California,Pasadena,91107,34.159007,-118.087353,32369,Q3,False,0,7,Offer E,True,26.95,False,True,Fiber Optic,18,True,False,False,False,False,False,False,False,Month-to-Month,False,Bank Withdrawal,76.45,503.6,11.05,0,188.65,681.2,2,Churned,True,81,4419,Price,Lack of affordable download/upload speed
